"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"22uF";;;
2;"C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47uF";;;
3;"J1";"TerminalBlock_bornier-2_P5.08mm";1;"Signals ieeja";;;
4;"J2";"TerminalBlock_bornier-2_P5.08mm";1;"Signals izeja";;;
5;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"12V";;;
6;"Q1";"TO-92";1;"BC548";;;
7;"Q2";"TO-92_Inline";1;"BC548";;;
8;"R1";"R_0603_1608Metric";1;"22K";;;
9;"R2";"R_0402_1005Metric";1;"6,8K";;;
10;"R3";"R_0603_1608Metric";1;"47K";;;
11;"R4";"R_0603_1608Metric";1;"1,8K";;;
12;"R5,R6";"R_0402_1005Metric";2;"1K";;;
